subject,window,window_index,window_sec,status,status_name,label_major,t_start_sec,t_end_sec,major_ratio,n_peaks,ibi_pass_ratio,valid_ibi_count,ibi_mean_sec_raw,ibi_mean_sec,ibi_std_sec,RMSSD,SDNN,LF,HF,LF_HF
S10,window1,1,60,0,baseline,1,120.0,180.0,1.0,91,1.0,69,0.6638888888888889,0.640625,0.04990933809404315,0.05633673867912483,0.04990933809404315,0.0011935567624246658,0.00116913319362139,1.0208903219381051
S10,window2,2,60,0,baseline,1,180.0,240.0,1.0,95,1.0,82,0.6316489361702128,0.5939405487804879,0.03784252726121649,0.04329848581020808,0.03784252726121649,0.0003681728090904574,0.00038836796365611327,0.9479999473294919
S10,window3,3,60,0,baseline,1,240.0,300.0,1.0,98,1.0,87,0.6121134020618557,0.5903376436781609,0.041740144041679604,0.0339076984338571,0.041740144041679604,0.0008512931815280263,0.00044899204042896714,1.8960095165934356
S10,window4,4,60,0,baseline,1,300.0,360.0,1.0,97,1.0,87,0.6188151041666666,0.6215876436781609,0.054766993094985034,0.08050516716588431,0.054766993094985034,0.0005346850775446777,0.000248574094860221,2.151008848469683
S10,window5,5,60,0,baseline,1,360.0,420.0,1.0,96,1.0,74,0.6223684210526316,0.5910050675675675,0.05853998705258702,0.09048243983120824,0.05853998705258702,0.0001593359711186534,0.000706359389836748,0.22557351599088776
S10,window6,6,60,0,baseline,1,420.0,480.0,1.0,103,1.0,89,0.5776654411764706,0.5725070224719101,0.04038302986361706,0.05125705848011658,0.04038302986361706,0.00021809684003183284,7.700313761723137e-05,2.8323110821269735
S10,window7,7,60,0,baseline,1,480.0,540.0,1.0,86,0.9764705882352941,65,0.6996323529411764,0.6084134615384615,0.07072538618826545,0.07478199109014315,0.07072538618826545,0.0005886131104621006,0.0006824560522131415,0.8624923298039238
S10,window8,8,60,0,baseline,1,540.0,600.0,1.0,100,1.0,94,0.601010101010101,0.5887632978723404,0.04397103914251941,0.0427447884014399,0.04397103914251941,0.0014215019893263083,0.0003406556519297507,4.172841346602543
S10,window9,9,60,0,baseline,1,600.0,660.0,1.0,99,1.0,80,0.6050701530612245,0.595703125,0.06290760640303664,0.09809927200403436,0.06290760640303664,0.0008460479972341404,0.0009515683638033636,0.8891090009051327
S10,window10,10,60,0,baseline,1,660.0,720.0,1.0,98,1.0,73,0.6101804123711341,0.587542808219178,0.061948537037499994,0.08390106090409902,0.061948537037499994,0.0016974296144684432,0.0003087573896467545,5.4976161587920265
S10,window11,11,60,0,baseline,1,720.0,780.0,1.0,86,0.9882352941176471,61,0.6976102941176471,0.6452356557377049,0.08038952969644686,0.09239471767458715,0.08038952969644686,0.0018413010300553233,0.0014251309848097122,1.2920223121113175
S10,window12,12,60,0,baseline,1,780.0,840.0,1.0,89,0.9886363636363636,72,0.6750710227272727,0.6256510416666666,0.0814582958692902,0.07650161958609618,0.0814582958692902,0.004771497653636906,0.0005556048005811947,8.587934533045152
S10,window13,13,60,0,baseline,1,840.0,900.0,1.0,88,0.9770114942528736,64,0.6799568965517241,0.60791015625,0.07342912342103666,0.11313683837030523,0.07342912342103666,0.0006928689603755544,0.0014690431313199588,0.4716464381498456
S10,window14,14,60,0,baseline,1,900.0,960.0,1.0,95,1.0,80,0.6298204787234043,0.621484375,0.06545620964323687,0.0829223283534475,0.06545620964323687,0.0010650011349008642,0.00189720881804521,0.561351562764814
S10,window15,15,60,0,baseline,1,960.0,1020.0,1.0,90,1.0,83,0.6702949438202247,0.6602033132530121,0.04751962463517718,0.03639930616549261,0.04751962463517718,0.0006169680963066032,0.000260915145350358,2.36463121172263
S10,window16,16,60,0,baseline,1,1020.0,1080.0,1.0,95,1.0,93,0.6308178191489362,0.6268481182795699,0.04734029053584556,0.04490895076369133,0.04734029053584556,0.0011286633903212233,0.0006795076762315025,1.6610016778334336
S10,window17,17,60,0,baseline,1,1080.0,1140.0,1.0,102,1.0,96,0.5895730198019802,0.5833333333333334,0.04787702164283916,0.07476319523563787,0.04787702164283916,0.00010761362244494831,0.00035995002648814484,0.2989682303815378
S10,window18,18,60,0,baseline,1,1140.0,1200.0,1.0,93,1.0,76,0.6462296195652174,0.6071134868421053,0.04893394437254256,0.06507707769765532,0.04893394437254256,0.0003892734436905857,0.0005298476750401005,0.7346893494646821
S10,window19,19,60,0,baseline,1,1200.0,1260.0,1.0,101,1.0,87,0.5953125,0.5980603448275862,0.03954902867134174,0.04714674140691695,0.03954902867134174,0.0004016970647921231,0.0004869404940255887,0.8249407673435636
S10,window20,20,60,1,stress,2,3240.0,3300.0,1.0,104,1.0,87,0.5790351941747572,0.5260416666666666,0.056840899107092606,0.06926505010246997,0.056840899107092606,0.0006060434350753348,0.0010250648007115047,0.5912245105428221
